# DSS .data file
#   File      name: ( F:\Altair\trambulina\rpt\opt_1\opt_1_iteration.data )
#   Date generated: ( 2020-12-17 21:22:16  )
#   On      system: ( Windows [Version 10.0.18362] (64 bit) )
# 
#   Generator  ver: ( HyperStudy2020.1.0.26 - py-c-011 1948507 )
#   Schema     ver: ( 2020.1.0.26 )
#
# HstMeta hstCategoryIds    = "5203","5401","5501","0202","0202","0202","0202","0202","2202","2202","2202","2202","2202","2402","2402","2402","2502","2502","2502"
# HstMeta hstLabels         = "RowLabel","StepMajor","StepMinor","tf [mm]","tc [mm]","L [m]","Skin Material","Core Material","Delta Displacement","Delta Tau_c","Delta Sigma_f","Cost","Mass","Skin Stress","Displacement","Core Stress","Cost","Max Displacement","Mass"
# HstMeta hstVarnames       = "RowLabel","StepMajor","StepMinor","tf","tc","L","skin_mat","core_mat","r_1","r_2","r_3","r_4","r_5","goal_2","goal_3","goal_4","goal_6","goal_7","goal_8"
#
v11.0	17523	5203	5401	5501	0202	0202	0202	0202	0202	2202	2202	2202	2202	2202	2402	2402	2402	2502	2502	2502
RowLabel	StepMajor	StepMinor	tf	tc	L	skin_mat	core_mat	r_1	r_2	r_3	r_4	r_5	goal_2	goal_3	goal_4	goal_6	goal_7	goal_8
Row_0001	001	001	 8.8278400	 419.24800	 1.1632001	 0.0000000	 0.0000000	 293.83431	 0.1130800	 59.094430	 119.82000	 94.724720	 59.094430	 293.83431	 0.1130800	 119.82000	 293.83431	 94.724720
Row_0002	001	002	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0003	001	003	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0004	002	001	 8.8278400	 419.24800	 1.1632001	 0.0000000	 0.0000000	 293.83431	 0.1130800	 59.094430	 119.82000	 94.724720	 59.094430	 293.83431	 0.1130800	 119.82000	 293.83431	 94.724720
Row_0005	002	002	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0006	002	003	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0007	003	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0008	003	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0009	003	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0010	004	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0011	004	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0012	004	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0013	004	004	 1.2721600	 90.752000	 3.8368000	 3.0000000	 2.0000000	 144.72817	 0.2860200	 103.57992	 879.95000	 29.954360	 103.57992	 144.72817	 0.2860200	 879.95000	 144.72817	 29.954360
Row_0014	005	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0015	005	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0016	005	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0017	005	004	 1.2721600	 90.752000	 3.8368000	 3.0000000	 2.0000000	 144.72817	 0.2860200	 103.57992	 879.95000	 29.954360	 103.57992	 144.72817	 0.2860200	 879.95000	 144.72817	 29.954360
Row_0018	006	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0019	006	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0020	006	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0021	006	004	 1.2721600	 90.752000	 3.8368000	 3.0000000	 2.0000000	 144.72817	 0.2860200	 103.57992	 879.95000	 29.954360	 103.57992	 144.72817	 0.2860200	 879.95000	 144.72817	 29.954360
Row_0022	006	005	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0023	007	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0024	007	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0025	007	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0026	007	004	 1.2721600	 90.752000	 3.8368000	 3.0000000	 2.0000000	 144.72817	 0.2860200	 103.57992	 879.95000	 29.954360	 103.57992	 144.72817	 0.2860200	 879.95000	 144.72817	 29.954360
Row_0027	007	005	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0028	007	006	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0029	008	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0030	008	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0031	008	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0032	008	004	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0033	008	005	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0034	008	006	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0035	009	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0036	009	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0037	009	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0038	009	004	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0039	009	005	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0040	009	006	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0041	009	007	 5.5167028	 212.36384	 1.0048180	 2.0000000	 1.0000000	 293.47159	 0.2252900	 77.540580	 142.17000	 19.538640	 77.540580	 293.47159	 0.2252900	 142.17000	 293.47159	 19.538640
Row_0042	010	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0043	010	002	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0044	010	003	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0045	010	004	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0046	010	005	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0047	010	006	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0048	010	007	 5.5167028	 212.36384	 1.0048180	 2.0000000	 1.0000000	 293.47159	 0.2252900	 77.540580	 142.17000	 19.538640	 77.540580	 293.47159	 0.2252900	 142.17000	 293.47159	 19.538640
Row_0049	011	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0050	011	002	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0051	011	003	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0052	011	004	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0053	011	005	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0054	011	006	 5.5167028	 212.36384	 1.0048180	 2.0000000	 1.0000000	 293.47159	 0.2252900	 77.540580	 142.17000	 19.538640	 77.540580	 293.47159	 0.2252900	 142.17000	 293.47159	 19.538640
Row_0055	011	007	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
Row_0056	012	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0057	012	002	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0058	012	003	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0059	012	004	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0060	012	005	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
Row_0061	012	006	 5.4593317	 209.18926	 1.0221080	 2.0000000	 1.0000000	 293.42390	 0.2250800	 77.433910	 142.62000	 19.618780	 77.433910	 293.42390	 0.2250800	 142.62000	 293.42390	 19.618780
Row_0062	012	007	 5.4449011	 209.58377	 1.0021598	 2.0000000	 1.0000000	 293.45575	 0.2251000	 77.481790	 139.94000	 19.232480	 77.481790	 293.45575	 0.2251000	 139.94000	 293.45575	 19.232480
Row_0063	013	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0064	013	002	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0065	013	003	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0066	013	004	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0067	013	005	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
Row_0068	013	006	 5.4593317	 209.18926	 1.0221080	 2.0000000	 1.0000000	 293.42390	 0.2250800	 77.433910	 142.62000	 19.618780	 77.433910	 293.42390	 0.2250800	 142.62000	 293.42390	 19.618780
Row_0069	013	007	 5.4449011	 209.58377	 1.0021598	 2.0000000	 1.0000000	 293.45575	 0.2251000	 77.481790	 139.94000	 19.232480	 77.481790	 293.45575	 0.2251000	 139.94000	 293.45575	 19.232480
Row_0070	014	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0071	014	002	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0072	014	003	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0073	014	004	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0074	014	005	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
Row_0075	014	006	 5.4593317	 209.18926	 1.0221080	 2.0000000	 1.0000000	 293.42390	 0.2250800	 77.433910	 142.62000	 19.618780	 77.433910	 293.42390	 0.2250800	 142.62000	 293.42390	 19.618780
Row_0076	014	007	 5.4449011	 209.58377	 1.0021598	 2.0000000	 1.0000000	 293.45575	 0.2251000	 77.481790	 139.94000	 19.232480	 77.481790	 293.45575	 0.2251000	 139.94000	 293.45575	 19.232480
Row_0077	014	008	 6.8668864	 61.251197	 1.0813197	 1.0000000	 0.0000000	 291.17888	 0.0766700	 33.198990	 25.960000	 22.035290	 33.198990	 291.17888	 0.0766700	 25.960000	 291.17888	 22.035290
Row_0078	015	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0079	015	002	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0080	015	003	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0081	015	004	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0082	015	005	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
Row_0083	015	006	 6.8668864	 61.251197	 1.0813197	 1.0000000	 0.0000000	 291.17888	 0.0766700	 33.198990	 25.960000	 22.035290	 33.198990	 291.17888	 0.0766700	 25.960000	 291.17888	 22.035290
Row_0084	015	007	 0.5881068	 251.03358	 1.0536542	 1.0000000	 0.0000000	 292.76062	 0.1063500	 19.052530	 48.780000	 9.6081300	 19.052530	 292.76062	 0.1063500	 48.780000	 292.76062	 9.6081300
Row_0085	016	001	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0086	016	002	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0087	016	003	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0088	016	004	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
