# DSS .data file
#   File      name: ( F:\Altair\trambulina\rpt\opt_1\opt_1_runsummary.data )
#   Date generated: ( 2020-12-17 21:22:16  )
#   On      system: ( Windows [Version 10.0.18362] (64 bit) )
# 
#   Generator  ver: ( HyperStudy2020.1.0.26 - py-c-011 1948507 )
#   Schema     ver: ( 2020.1.0.26 )
#
# HstMeta hstCategoryIds    = "5203","5401","5501","0202","0202","0202","0202","0202","2202","2202","2202","2202","2202","2402","2402","2402","2502","2502","2502"
# HstMeta hstLabels         = "RowLabel","StepMajor","StepMinor","tf [mm]","tc [mm]","L [m]","Skin Material","Core Material","Delta Displacement","Delta Tau_c","Delta Sigma_f","Cost","Mass","Skin Stress","Displacement","Core Stress","Cost","Max Displacement","Mass"
# HstMeta hstVarnames       = "RowLabel","StepMajor","StepMinor","tf","tc","L","skin_mat","core_mat","r_1","r_2","r_3","r_4","r_5","goal_2","goal_3","goal_4","goal_6","goal_7","goal_8"
#
v11.0	1000	5203	5401	5501	0202	0202	0202	0202	0202	2202	2202	2202	2202	2202	2402	2402	2402	2502	2502	2502
RowLabel	StepMajor	StepMinor	tf	tc	L	skin_mat	core_mat	r_1	r_2	r_3	r_4	r_5	goal_2	goal_3	goal_4	goal_6	goal_7	goal_8
Row_0001	001	001	 1.0000000	 70.000000	 4.0000000	 0.0000000	 0.0000000	 165.30420	 0.0781800	-105.74620	 62.880000	 39.600000	-105.74620	 165.30420	 0.0781800	 62.880000	 165.30420	 39.600000
Row_0002	001	002	 5.6440000	 166.80000	 1.1200001	 3.0000000	 3.0000000	 293.71852	 0.5822600	 196.61448	 1132.1900	 28.163520	 196.61448	 293.71852	 0.5822600	 1132.1900	 293.71852	 28.163520
Row_0003	001	003	 8.8278400	 419.24800	 1.1632001	 0.0000000	 0.0000000	 293.83431	 0.1130800	 59.094430	 119.82000	 94.724720	 59.094430	 293.83431	 0.1130800	 119.82000	 293.83431	 94.724720
Row_0004	001	004	 7.1646400	 470.20800	 3.8272000	 3.0000000	 0.0000000	 292.18145	 0.1136800	 196.70791	 3614.3900	 95.118170	 196.70791	 292.18145	 0.1136800	 3614.3900	 292.18145	 95.118170
Row_0005	001	005	 1.7315200	 473.34400	 3.5296000	 1.0000000	 3.0000000	 290.75647	 0.5914600	 27.376570	 3352.9800	 183.57275	 27.376570	 290.75647	 0.5914600	 3352.9800	 290.75647	 183.57275
Row_0006	001	006	 2.6027200	 49.984000	 1.7056000	 3.0000000	 0.0000000	 270.76142	 0.0636500	 163.33805	 548.05000	 9.2163800	 163.33805	 270.76142	 0.0636500	 548.05000	 270.76142	 9.2163800
Row_0007	001	007	 9.0337600	 16.272000	 3.4048000	 0.0000000	 2.0000000	 223.50639	 0.2037000	 16.182700	 142.78000	 243.51473	 16.182700	 223.50639	 0.2037000	 142.78000	 223.50639	 243.51473
Row_0008	002	001	 1.4466077	 10.002505	 1.0129421	 1.0000000	 0.0000000	 130.29252	-0.1375700	-139.92938	 4.5900000	 4.2603500	-139.92938	 130.29252	-0.1375700	 4.5900000	 130.29252	 4.2603500
Row_0009	002	002	 2.2761732	 10.743560	 1.0029597	 0.0000000	 0.0000000	 260.68173	-0.1060800	-39.567790	 9.0600000	 18.129940	-39.567790	 260.68173	-0.1060800	 9.0600000	 260.68173	 18.129940
Row_0010	003	001	 8.2679576	 18.163318	 1.0814160	 1.0000000	 1.0000000	 285.88793	 0.1285800	 25.441390	 26.720000	 25.123180	 25.441390	 285.88793	 0.1285800	 26.720000	 285.88793	 25.123180
Row_0011	003	002	 6.4603420	 27.253862	 1.1619202	 0.0000000	 1.0000000	 289.99874	 0.1526700	 44.305410	 39.250000	 60.133250	 44.305410	 289.99874	 0.1526700	 39.250000	 289.99874	 60.133250
Row_0012	004	001	 1.2721600	 90.752000	 3.8368000	 3.0000000	 2.0000000	 144.72817	 0.2860200	 103.57992	 879.95000	 29.954360	 103.57992	 144.72817	 0.2860200	 879.95000	 144.72817	 29.954360
Row_0013	004	002	 0.2774080	 461.89760	 1.3158400	 2.0000000	 1.0000000	 290.20875	 0.2084800	 49.806290	 306.23000	 30.973210	 49.806290	 290.20875	 0.2084800	 306.23000	 290.20875	 30.973210
Row_0014	005	001	 0.1061935	 10.526763	 3.9267333	 2.0000000	 2.0000000	-494292.84	-0.0415400	-10151.412	 37.600000	 3.3539900	-10151.412	-494292.84	-0.0415400	 37.600000	-494292.84	 3.3539900
Row_0015	005	002	 0.1646905	 10.690926	 3.1084960	 3.0000000	 2.0000000	-43087.394	 0.0335200	-4915.2980	 89.510000	 2.9280400	-4915.2980	-43087.394	 0.0335200	 89.510000	-43087.394	 2.9280400
Row_0016	006	001	 5.4854718	 217.12210	 1.0211138	 2.0000000	 1.0000000	 293.46902	 0.2255700	 77.539860	 146.70000	 20.047310	 77.539860	 293.46902	 0.2255700	 146.70000	 293.46902	 20.047310
Row_0017	006	002	 7.3876255	 296.43879	 1.0309870	 0.0000000	 0.0000000	 293.74138	 0.1102700	 58.648660	 78.780000	 68.578030	 58.648660	 293.74138	 0.1102700	 78.780000	 293.74138	 68.578030
Row_0018	007	001	 0.7526080	 97.337600	 1.4118400	 0.0000000	 3.0000000	 289.92104	 0.5681800	 3.7358500	 278.17000	 22.030520	 3.7358500	 289.92104	 0.5681800	 278.17000	 289.92104	 22.030520
Row_0019	007	002	 9.8764480	 447.78560	 2.6550400	 0.0000000	 3.0000000	 293.89028	 0.5934400	 58.271910	 2459.5900	 323.42335	 58.271910	 293.89028	 0.5934400	 2459.5900	 293.89028	 323.42335
Row_0020	008	001	 1.2334074	 88.101339	 3.8228279	 3.0000000	 2.0000000	 132.53512	 0.2850000	 97.929790	 850.41000	 28.964440	 97.929790	 132.53512	 0.2850000	 850.41000	 132.53512	 28.964440
Row_0021	008	002	 1.2131789	 88.371530	 3.8287668	 3.0000000	 2.0000000	 130.03631	 0.2850500	 96.356500	 843.31000	 28.960510	 96.356500	 130.03631	 0.2850500	 843.31000	 130.03631	 28.960510
Row_0022	009	001	 5.5167028	 212.36384	 1.0048180	 2.0000000	 1.0000000	 293.47159	 0.2252900	 77.540580	 142.17000	 19.538640	 77.540580	 293.47159	 0.2252900	 142.17000	 293.47159	 19.538640
Row_0023	009	002	 5.5635567	 214.31099	 1.0038124	 2.0000000	 1.0000000	 293.48620	 0.2254300	 77.585840	 143.31000	 19.691990	 77.585840	 293.48620	 0.2254300	 143.31000	 293.48620	 19.691990
Row_0024	010	001	 8.8626880	 245.51360	 3.8502400	 2.0000000	 3.0000000	 283.86611	 0.5869300	 74.975560	 2108.9600	 149.12620	 74.975560	 283.86611	 0.5869300	 2108.9600	 283.86611	 149.12620
Row_0025	010	002	 7.7697280	 349.00160	 3.0294400	 1.0000000	 1.0000000	 292.76873	 0.2315100	 36.784800	 573.13000	 116.41638	 36.784800	 292.76873	 0.2315100	 573.13000	 292.76873	 116.41638
Row_0026	011	001	 9.0652321	 16.223774	 3.3748704	 0.0000000	 2.0000000	 225.40589	 0.2036200	 16.689970	 141.72000	 242.19194	 16.689970	 225.40589	 0.2036200	 141.72000	 225.40589	 242.19194
Row_0027	011	002	 8.9997231	 15.682135	 3.3753567	 0.0000000	 2.0000000	 221.65281	 0.2007600	 15.295080	 139.51000	 240.38353	 15.295080	 221.65281	 0.2007600	 139.51000	 221.65281	 240.38353
